集合名称,索引名称,索引字段,字段排序,唯一索引,优先级,说明,用途
posts,visibility_createdAt_index,visibility|createdAt,1|-1,否,中,公开动态流索引,公开动态流查询
orders,orderNo_unique,orderNo,1,是,最高,订单号唯一性索引,订单号唯一性
orders,userId_createdAt_index,userId|createdAt,1|-1,否,高,用户订单列表索引,用户订单列表查询
practitioners,practitionerId_unique,practitionerId,1,是,最高,践行者ID唯一性索引,践行者ID唯一性
practitioners,veganYears_desc,veganJourney.veganYears,-1,否,高,素食年限排序索引,按素食年限排序
practitioners,certification_level,certification.level,1,否,高,认证等级索引,按认证等级筛选
practitioners,can_be_mentor,certification.canBeMentor,1,否,中,导师筛选索引,筛选可做导师的践行者
practitioners,status,status,1,否,中,状态查询索引,过滤活跃状态
practitioner_certifications,target_lookup,targetType|targetId,1|1,否,高,目标查询索引,查询某食材/食谱的所有认证
practitioner_certifications,practitioner_lookup,practitionerId,1,否,高,践行者查询索引,查询某践行者的所有认证
practitioner_certifications,weight_desc,weight,-1,否,中,权重排序索引,按权重排序（展示优先级）
practitioner_certifications,status,status,1,否,中,状态查询索引,过滤活跃状态
tcm_wisdom,wisdomId_unique,wisdomId,1,是,最高,智慧ID唯一性索引,智慧ID唯一性
tcm_wisdom,wisdom_type,wisdomType,1,否,高,类型查询索引,按类型筛选
tcm_wisdom,body_type,bodyType.type,1,否,中,体质查询索引,查询体质相关智慧
tcm_wisdom,solar_term,solarTerm.term,1,否,中,节气查询索引,查询节气相关智慧
tcm_wisdom,therapy_symptom,therapy.symptom,1,否,中,症状查询索引,查询食疗方案
tcm_wisdom,status,status,1,否,中,状态查询索引,过滤活跃状态
wisdom_quotes,quoteId_unique,quoteId,1,是,最高,语录ID唯一性索引,语录ID唯一性
wisdom_quotes,category_featured,category|featured,1|1,否,高,分类精选索引,按分类和精选筛选
wisdom_quotes,practitioner_lookup,practitionerId,1,否,中,践行者查询索引,查询某践行者的语录
wisdom_quotes,likes_desc,likes,-1,否,中,点赞排序索引,热门排序
mentorship,mentor_status,mentorId|status,1|1,否,高,导师状态索引,查询导师的活跃陪伴关系
mentorship,mentee_lookup,menteeId,1,否,高,学员查询索引,查询学员的陪伴关系
mentorship,active_plans,status|plan.currentDay,1|1,否,中,活跃计划索引,查询活跃陪伴计划
mentorship,successful_cases,outcome.success|outcome.canBeUsedAsCase,1|1,否,中,成功案例索引,筛选成功案例
user_profiles_extended,userId_unique,userId,1,是,最高,用户ID唯一性索引,用户扩展档案唯一性
user_profiles_extended,bodyType,bodyType.type,1,否,中,体质查询索引,按体质查询用户
user_profiles_extended,healthGoals,healthGoals,数组,否,中,健康目标索引,按健康目标查询
knowledge_graph,source_lookup,sourceType|sourceId,1|1,否,高,源节点查询索引,查询源节点关系
knowledge_graph,target_lookup,targetType|targetId,1|1,否,高,目标节点查询索引,查询目标节点关系
knowledge_graph,relation_type,relationType,1,否,中,关系类型索引,按关系类型查询
products,productId_unique,productId,1,是,最高,商品ID唯一性索引,商品ID唯一性
products,category_status,category|status,1|1,否,最高,分类状态索引,按分类和状态查询
products,linkedData_ingredientId,linkedData.ingredientId,1,否,高,关联食材索引,按关联食材查询
products,practitioner_cert,linkedData.certifiedByPractitioners.practitionerId,1,否,中,践行者认证索引,按践行者认证查询
products,bodyTypes,recommendTags.bodyTypes,1,否,中,体质推荐索引,按体质推荐查询
products,solarTerms,recommendTags.solarTerms,1,否,中,节气推荐索引,按节气推荐查询
products,totalSales,salesData.totalSales,-1,否,中,销量排序索引,按销量排序
products,rating,salesData.rating,-1,否,中,评分排序索引,按评分排序
products,status,status,1,否,中,状态查询索引,按状态查询
shopping_cart,userId_unique,userId,1,是,最高,用户购物车唯一性索引,用户购物车唯一性
product_reviews,productId_rating,productId|rating,1|-1,否,高,商品评分索引,按商品和评分查询
product_reviews,userId,userId,1,否,中,用户查询索引,查询用户评价
product_reviews,practitioner_rating,isPractitioner|rating,1|-1,否,中,践行者评分索引,践行者评价查询
inventory,productId_specId_unique,productId|specId,1|1,是,最高,商品规格唯一性索引,商品规格唯一性
inventory,isLowStock,alert.isLowStock,1,否,高,低库存索引,低库存预警查询
inventory,isOutOfStock,alert.isOutOfStock,1,否,高,缺货索引,缺货预警查询
promotions,promotionId_unique,promotionId,1,是,最高,活动ID唯一性索引,活动ID唯一性
promotions,status_startTime,status|startTime,1|1,否,高,活动状态时间索引,按状态和时间查询活动
promotions,targetBodyTypes,gardenTargeting.targetBodyTypes,1,否,中,目标体质索引,按目标体质查询
coupons,couponId_unique,couponId,1,是,最高,优惠券ID唯一性索引,优惠券ID唯一性
coupons,status_endTime,status|endTime,1|1,否,高,优惠券状态时间索引,按状态和时间查询
user_coupons,code_unique,code,1,是,最高,优惠券码唯一性索引,优惠券码唯一性
user_coupons,userId_status,userId|status,1|1,否,高,用户优惠券状态索引,按用户和状态查询
data_dashboard,date_type,date|type,-1|1,否,高,日期类型索引,按日期和类型查询
data_dashboard,insights_priority,insights.priority,1,否,中,洞察优先级索引,按优先级查询洞察
business_rules,ruleId_unique,ruleId,1,是,最高,规则ID唯一性索引,规则ID唯一性
business_rules,status_priority,status|priority,1|-1,否,高,规则状态优先级索引,按状态和优先级查询
restaurants,restaurantId_unique,restaurantId,1,是,最高,餐厅ID唯一性索引,餐厅ID唯一性
restaurants,tenantId_restaurantId_index,tenantId|restaurantId,1|1,否,最高,租户餐厅关联索引,按租户查询餐厅列表
restaurants,city_status,location.city|status,1|1,否,高,城市状态索引,按城市和状态查询
restaurants,certified,climateCertification.isCertified,1,否,高,认证状态索引,按认证状态查询
restaurants,certificationLevel,climateCertification.certificationLevel,1,否,中,认证等级索引,按认证等级查询
restaurants,category,category,1,否,中,分类索引,按分类查询
restaurants,overallRating,ratings.overallRating,-1,否,中,评分排序索引,按评分排序
restaurants,carbonReduction,carbonImpact.totalCarbonReduction,-1,否,中,碳减排排序索引,按碳减排排序
restaurants,certificationStatus_index,certificationStatus,1,否,高,认证状态索引,按认证状态查询餐厅
restaurants,tenantId_certificationStatus_index,tenantId|certificationStatus,1|1,否,高,租户认证状态索引,按租户和认证状态查询
restaurants,region_index,region,1,否,高,餐厅地区索引,按地区查询餐厅
restaurant_menus,tenant_menuType_status,tenantId|menuType|status,1|1|1,否,高,租户菜单类型状态索引,按租户菜单类型和状态查询
restaurant_menus,restaurantId,restaurantId,1,否,高,餐厅ID索引,按餐厅查询菜单
restaurant_menu_items,menuItemId_unique,menuItemId,1,是,最高,菜品ID唯一性索引,菜品ID唯一性
restaurant_menu_items,menu_itemSku,menuId|skuCode,1|1,否,高,菜单SKU索引,按菜单和SKU查询
restaurant_menu_items,restaurant_status,restaurantId|status,1|1,否,高,餐厅状态索引,按餐厅和状态查询
restaurant_menu_items,carbonLabel,carbonData.carbonLabel,1,否,中,碳标签索引,按碳标签查询
restaurant_menu_items,carbonScore,carbonData.carbonScore,-1,否,中,碳评分排序索引,按碳评分排序
restaurant_menu_items,baseline_query_index,restaurantRegion|mealType|energyType,1|1|1,否,高,基准值查询维度组合索引,按地区餐食类型用能方式查询基准值
restaurant_menu_items,optimization_flag_index,optimizationFlag.needsOptimization,1,否,中,优化标识查询索引,查询需要优化的菜谱
restaurant_orders,orderId_unique,orderId,1,是,最高,订单ID唯一性索引,订单ID唯一性
restaurant_orders,tenant_restaurant_time,tenantId|restaurantId|createdAt,1|1|-1,否,最高,租户餐厅时间索引,按租户餐厅和时间查询
restaurant_orders,userId_createdAt,userId|createdAt,1|-1,否,高,用户时间索引,按用户和时间查询
restaurant_orders,restaurant_status,restaurantId|status,1|1,否,高,餐厅状态索引,按餐厅和状态查询
restaurant_reservations,reservationId_unique,reservationId,1,是,最高,预订ID唯一性索引,预订ID唯一性
restaurant_reservations,restaurant_time,restaurantId|reservationTime,1|-1,否,高,餐厅时间索引,按餐厅和时间查询
restaurant_reservations,userId,userId,1,否,中,用户索引,按用户查询预订
restaurant_reservations,status,status,1,否,中,状态索引,按状态查询
restaurant_members,tenant_user,tenantId|userId,1|1,否,高,租户用户索引,按租户和用户查询
restaurant_members,restaurantId,restaurantId,1,否,中,餐厅ID索引,按餐厅查询会员
restaurant_campaigns,tenant_status,tenantId|status|startTime,1|1|-1,否,高,租户状态时间索引,按租户状态和时间查询
restaurant_campaigns,restaurantId,restaurantId,1,否,中,餐厅ID索引,按餐厅查询活动
restaurant_reviews,tenant_restaurant_reviewId,tenantId|restaurantId|reviewId,1|1|1,否,高,租户餐厅评价索引,按租户餐厅和评价查询
restaurant_reviews,restaurantId_rating,restaurantId|rating,1|-1,否,中,餐厅评分索引,按餐厅和评分查询
carbon_credits,tenant_user,tenantId|userId,1|1,否,最高,租户用户索引,按租户和用户查询碳积分
carbon_credits,level,level.currentLevel,1,否,中,等级索引,按等级查询
carbon_credits,totalCredits,account.totalCredits,-1,否,中,总积分排序索引,按总积分排序
carbon_transactions,tenant_transactionId,tenantId|transactionId,1|1,否,最高,租户交易ID索引,按租户和交易ID查询
carbon_transactions,userId_createdAt,userId|createdAt,1|-1,否,高,用户时间索引,按用户和时间查询
carbon_transactions,transactionType,transactionType,1,否,中,交易类型索引,按交易类型查询
carbon_exchange_records,exchangeId,exchangeId,1,否,高,交易所ID索引,按交易所查询
carbon_exchange_records,status,status,1,否,中,状态索引,按状态查询
carbon_milestones,tenant_milestoneId,tenantId|milestoneId,1|1,否,高,租户里程碑索引,按租户和里程碑查询
carbon_milestones,achievedAt,achievedAt,-1,否,中,达成时间索引,按达成时间排序
government_programs,programId,programId,1,否,高,项目ID索引,按项目ID查询
government_programs,status,status,1,否,中,状态索引,按状态查询
public_participation,tenant_activityId,tenantId|activityId,1|1,否,高,租户活动索引,按租户和活动查询
public_participation,activityType,activityType,1,否,中,活动类型索引,按活动类型查询
esg_reports,reportId,reportId,1,否,高,报告ID索引,按报告ID查询
esg_reports,reportType,reportType,1,否,中,报告类型索引,按报告类型查询
tenants,tenantId_unique,tenantId,1,是,最高,租户ID唯一性索引,租户ID唯一性
staff_accounts,tenant_user_roles,tenantId|userId|roles,1|1|1,否,高,租户用户角色索引,按租户用户和角色查询
restaurant_profiles,tenant_restaurant_version,tenantId|restaurantId|version,1|1|-1,否,高,租户餐厅版本索引,按租户餐厅和版本查询
restaurant_operation_ledgers,restaurantId_date_index,restaurantId|date,1|-1,否,最高,餐厅日期索引,按餐厅和日期查询台账
restaurant_operation_ledgers,restaurantId_type_date_index,restaurantId|type|date,1|1|-1,否,最高,餐厅类型日期索引,按餐厅类型和日期查询台账
restaurant_operation_ledgers,tenantId_date_index,tenantId|date,1|-1,否,高,租户日期索引,按租户和日期查询台账
restaurant_operation_ledgers,date_index,date,-1,否,中,日期索引,按日期排序查询
restaurant_behavior_metrics,restaurantId_snapshotDate_index,restaurantId|snapshotDate,1|-1,否,最高,餐厅快照日期索引,按餐厅和快照日期查询指标
restaurant_behavior_metrics,tenantId_snapshotDate_index,tenantId|snapshotDate,1|-1,否,高,租户快照日期索引,按租户和快照日期查询指标
restaurant_behavior_metrics,snapshotDate_index,snapshotDate,-1,否,中,快照日期索引,按快照日期排序查询
certification_applications,applicationId_unique,applicationId,1,是,最高,申请编号唯一性索引,申请编号唯一性
certification_applications,tenant_restaurant_stage,tenantId|restaurantId|currentStage,1|1|1,否,高,租户餐厅阶段索引,按租户餐厅和阶段查询
certification_applications,status,status,1,否,高,状态索引,按状态查询申请
certification_applications,restaurantId_status,restaurantId|status,1|1,否,高,餐厅状态索引,按餐厅和状态查询申请
certification_stages,application_stageType,applicationId|stageType|updatedAt,1|1|-1,否,高,申请阶段类型索引,按申请和阶段类型查询
assessment_items,application_metric,applicationId|metricCode,1|1,否,高,申请指标索引,按申请和指标查询
certification_badges,certificateId_unique,certificateId,1,是,最高,证书编号唯一性索引,证书编号唯一性
certification_badges,restaurant_certLevel,restaurantId|certLevel|expiresAt,1|1|-1,否,高,餐厅认证等级索引,按餐厅和认证等级查询
certification_badges,status_expiryDate,status|expiryDate,1|-1,否,高,状态到期时间索引,按状态和到期时间查询
certification_documents,application_fileType,applicationId|fileType,1|1,否,高,申请文件类型索引,按申请和文件类型查询
certification_materials,restaurant_materialType_version,restaurantId|materialType|version,1|1|-1,否,高,餐厅资料类型版本索引,按餐厅资料类型和版本查询
certification_materials,restaurantId_materialType,restaurantId|materialType,1|1,否,高,餐厅资料类型索引,按餐厅和资料类型查询
certification_inspections,application_status,applicationId|status,1|1,否,高,申请状态索引,按申请和状态查询抽检
certification_inspections,restaurantId_createdAt,restaurantId|createdAt,1|-1,否,高,餐厅创建时间索引,按餐厅和创建时间查询抽检
certification_inspections,inspectionType_status,inspectionType|status,1|1,否,中,抽检类型状态索引,按抽检类型和状态查询
recipe_versions,menuItem_version,menuItemId|version,1|-1,否,高,菜品版本索引,按菜品和版本查询
carbon_factors,factorType_reference,factorType|reference,1|1,否,高,因子类型参考索引,按因子类型和参考查询
carbon_assessments,target_period,targetType|targetId|timeSpan.start,1|1|-1,否,高,目标周期索引,按目标和周期查询
suppliers,supplier_type_region,supplierType|region,1|1,否,高,供应商类型地区索引,按供应商类型和地区查询
suppliers,tenant_supplierId,tenantId|supplierId,1|1,否,高,租户供应商索引,按租户和供应商查询
ingredient_lots,ingredient_batch,ingredientId|harvestDate,1|-1,否,高,食材批次索引,按食材和收获日期查询
ingredient_lots,supplier_harvestDate,supplierId|harvestDate,1|-1,否,中,供应商收获日期索引,按供应商和收获日期查询
trace_chains,menuItem_lot,menuItemId|lotId,1|1,否,高,菜品批次索引,按菜品和批次查询
trace_nodes,trace_nodeType_time,traceId|nodeType|timestamp,1|1|-1,否,高,溯源节点类型时间索引,按溯源节点类型和时间查询
points_accounts,user_pointsType,userId|pointsType|tenantId,1|1|1,否,高,用户积分类型索引,按用户积分类型和租户查询
behavior_records,user_behaviorType_time,userId|behaviorType|timestamp,1|1|-1,否,高,用户行为类型时间索引,按用户行为类型和时间查询
feedback_records,owner_rating,ownerType|ownerId|rating,1|1|-1,否,高,所有者评分索引,按所有者和评分查询
kpi_definitions,domain_kpi,domain|kpiId,1|1,否,高,域指标索引,按域和指标查询
data_snapshots,snapshotType_period,snapshotType|period|aggregationLevel,1|-1|1,否,高,快照类型周期索引,按快照类型周期和聚合级别查询
report_templates,template_type,templateType|version,1|-1,否,高,模板类型版本索引,按模板类型和版本查询
regulatory_exports,agency_status,agency|status|submittedAt,1|1|-1,否,高,机构状态提交时间索引,按机构状态和提交时间查询
dictionary_entries,dictionaryCode_value,dictionaryCode|value,1|1,否,高,字典代码值索引,按字典代码和值查询
strategy_rules,ruleType_version,ruleType|version,1|-1,否,高,规则类型版本索引,按规则类型和版本查询
task_schedules,jobType_status,jobType|status,1|1,否,高,任务类型状态索引,按任务类型和状态查询
admin_users,username_unique,username,1,是,最高,管理员用户名唯一性索引,管理员登录查询
admin_users,role_index,role,1,否,高,角色查询索引,按角色查询管理员
admin_users,tenantId_index,tenantId,1,否,高,租户查询索引,按租户查询管理员
admin_users,status_index,status,1,否,高,状态查询索引,按状态查询管理员
admin_users,createdAt_index,createdAt,-1,否,中,创建时间索引,按创建时间排序
admin_users,lastLoginAt_index,lastLoginAt,-1,否,中,最后登录时间索引,按最后登录时间排序
admin_users,role_status_index,role|status,1|1,否,高,角色和状态组合索引,按角色和状态查询
role_configs,roleCode_unique,roleCode,1,是,最高,角色代码唯一性索引,角色代码唯一性
role_configs,status_index,status,1,否,高,状态查询索引,按状态查询角色
role_configs,createdAt_index,createdAt,-1,否,中,创建时间索引,按创建时间排序
permissions,permissionCode_unique,permissionCode,1,是,最高,权限代码唯一性索引,权限代码唯一性
permissions,module_index,module,1,否,高,模块查询索引,按模块查询权限
permissions,category_index,category,1,否,中,类别查询索引,按类别查询权限
permissions,createdAt_index,createdAt,-1,否,中,创建时间索引,按创建时间排序
audit_logs,userId_createdAt_index,userId|createdAt,1|-1,否,最高,用户操作日志索引,查询用户操作日志
audit_logs,role_index,role,1,否,高,角色查询索引,按角色查询日志
audit_logs,action_index,action,1,否,高,操作类型索引,按操作类型查询日志
audit_logs,resource_index,resource,1,否,高,资源查询索引,按资源查询日志
audit_logs,tenant_resource_time,tenantId|resource|timestamp,1|1|-1,否,最高,租户资源操作日志索引,查询租户资源操作日志
audit_logs,status_index,status,1,否,高,状态查询索引,按状态查询日志
audit_logs,createdAt_index,createdAt,-1,否,高,创建时间索引,按时间排序查询日志
messages,type_status_createdAt_index,type|status|createdAt,1|1|-1,否,高,消息类型状态时间索引,按类型和状态查询消息
messages,targetUsers_index,targetUsers,数组,否,中,目标用户数组索引,按目标用户查询消息
messages,targetRoles_index,targetRoles,数组,否,中,目标角色数组索引,按目标角色查询消息
messages,direction_type_createdAt_index,direction|type|createdAt,1|1|-1,否,高,消息方向类型时间索引,按方向和类型查询消息
messages,relatedEntityId_relatedEntityType_index,relatedEntityId|relatedEntityType,1|1,否,中,关联实体索引,按关联实体查询消息
messages,eventType_createdAt_index,eventType|createdAt,1|-1,否,中,事件类型时间索引,按事件类型查询消息
user_messages,userId_status_createdAt_index,userId|status|createdAt,1|1|-1,否,最高,用户消息状态时间索引,用户消息列表查询（最高频）
user_messages,messageId_userId_index,messageId|userId,1|1,是,最高,消息用户关联唯一性索引,防止重复关联
message_event_rules,eventType_enabled_index,eventType|enabled,1|1,否,高,事件类型启用状态索引,按事件类型和启用状态查询规则
tenant_applications,status_createdAt_index,status|createdAt,1|-1,否,高,申请状态时间索引,按状态查询申请列表
tenant_applications,organizationName_index,organizationName,1,否,中,组织名称索引,按组织名称搜索
restaurant_staff,tenantId_restaurantId_isDeleted_index,tenantId|restaurantId|isDeleted,1|1|1,否,最高,租户餐厅删除状态索引,按租户餐厅和删除状态查询员工
restaurant_staff,restaurantId_vegetarianType_index,restaurantId|vegetarianInfo.isVegetarian|vegetarianInfo.vegetarianType,1|1|1,否,高,餐厅素食类型索引,按餐厅和素食类型筛选
restaurant_staff,staffId_unique,staffId,1,是,最高,员工ID唯一性索引,员工ID唯一性
restaurant_customers,tenantId_restaurantId_isDeleted_index,tenantId|restaurantId|isDeleted,1|1|1,否,最高,租户餐厅删除状态索引,按租户餐厅和删除状态查询客户
restaurant_customers,customerId_restaurantId_index,customerId|restaurantId,1|1,否,高,客户ID餐厅索引,按客户ID和餐厅查询
restaurant_customers,restaurantId_vegetarianType_index,restaurantId|vegetarianInfo.isVegetarian|vegetarianInfo.vegetarianType,1|1|1,否,高,餐厅素食类型索引,按餐厅和素食类型筛选
restaurant_customers,restaurantId_lastOrderDate_index,restaurantId|consumptionStats.lastOrderDate,1|-1,否,高,餐厅最后消费日期索引,按餐厅和最后消费日期查询
vegetarian_personnel_stats,tenantId_restaurantId_statDate_index,tenantId|restaurantId|statDate|statType,1|1|-1|1,否,最高,租户餐厅统计日期类型索引,按租户餐厅统计日期和类型查询
carbon_emission_factors,factorId_unique,factorId,1,是,最高,因子ID唯一性索引,因子ID唯一性和搜索查询
carbon_emission_factors,name_region_status_index,name|region|status,1|1|1,否,最高,名称区域状态索引,精确区域匹配（Level 1匹配算法）
carbon_emission_factors,name_status_index,name|status,1|1,否,最高,名称状态索引,国家级匹配（Level 2匹配算法）
carbon_emission_factors,status_category_subCategory_index,status|category|subCategory,1|1|1,否,高,状态分类子分类索引,按状态分类和子分类筛选因子
carbon_emission_factors,status_source_index,status|source,1|1,否,高,状态来源索引,按状态和数据来源筛选因子
carbon_emission_factors,status_region_index,status|region,1|1,否,高,状态区域索引,按状态和适用区域筛选因子
carbon_emission_factors,status_year_index,status|year,1|-1,否,高,状态年份索引,按状态和年份筛选因子
carbon_emission_factors,status_createdAt_index,status|createdAt,1|-1,否,高,状态创建时间索引,按状态查询并按创建时间倒序排序
carbon_emission_factors,alias_index,alias,数组,否,高,别名数组索引,别名匹配查询（Level 3匹配算法）
approval_configs,configId_unique,configId,1,是,最高,配置ID唯一性索引,配置ID唯一性和查询
approval_configs,businessType_operationType_index,businessType|operationType,1|1,否,最高,业务类型和操作类型索引,查询特定业务类型的审核配置
approval_configs,status_index,status,1,否,高,状态索引,按状态查询审核配置
approval_requests,requestId_unique,requestId,1,是,最高,申请ID唯一性索引,申请ID唯一性和查询
approval_requests,businessType_businessId_index,businessType|businessId,1|1,否,高,业务类型和业务ID索引,查询特定业务对象的审核申请
approval_requests,submitterId_status_index,submitterId|status,1|1,否,最高,提交人和状态索引,查询用户提交的审核申请
approval_requests,status_currentNodeIndex_index,status|currentNodeIndex,1|1,否,最高,状态和当前节点索引,查询待审核的申请
approval_requests,createdAt_index,createdAt,-1,否,高,创建时间索引,按创建时间倒序排序
approval_records,requestId_index,requestId,1,否,最高,申请ID索引,查询申请的审核记录
approval_records,approverId_reviewedAt_index,approverId|reviewedAt,1|-1,否,高,审核人和审核时间索引,查询审核人的审核记录
